country_id_origin,country_id_destination
AD,AE
AD,AF
AD,AG
AD,AI
AD,AL
AD,AM
AD,AN
AD,AO
AD,AQ
AD,AR
AD,AS
AD,AT
AD,AU
AD,AW
AD,AZ
AD,BA
AD,BB
AD,BD
AD,BE
AD,BF
AD,BG
AD,BH
AD,BI
AD,BJ
AD,BL
AD,BM
AD,BN
AD,BO
AD,BR
AD,BS
AD,BT
AD,BW
AD,BY
AD,BZ
AD,CA
AD,CC
AD,CD
AD,CF
AD,CG
AD,CH
AD,CI
AD,CK
AD,CL
AD,CM
AD,CN
AD,CO
AD,CR
AD,CU
AD,CV
AD,CW
AD,CX
AD,CY
AD,CZ
AD,DE
AD,DJ
AD,DK
AD,DM
AD,DO
AD,DZ
AD,EC
AD,EE
AD,EG
AD,EH
AD,ER
AD,ES
AD,ET
AD,FI
AD,FJ
AD,FK
AD,FM
AD,FO
AD,FR
AD,GA
AD,GB
AD,GD
AD,GE
AD,GG
AD,GH
AD,GI
AD,GL
AD,GM
AD,GN
AD,GQ
AD,GR
AD,GT
AD,GU
AD,GW
AD,GY
AD,HK
AD,HN
AD,HR
AD,HT
AD,HU
AD,ID
AD,IE
AD,IL
AD,IM
AD,IN
AD,IO
AD,IQ
AD,IR
AD,IS
AD,IT
AD,JE
AD,JM
AD,JO
AD,JP
AD,KE
AD,KG
AD,KH
AD,KI
AD,KM
AD,KN
AD,KP
AD,KR
AD,KW
AD,KY
AD,KZ
AD,LA
AD,LB
AD,LC
AD,LI
AD,LK
AD,LR
AD,LS
AD,LT
AD,LU
AD,LV
AD,LY
AD,MA
AD,MC
AD,MD
AD,ME
AD,MF
AD,MG
AD,MH
AD,MK
AD,ML
AD,MM
AD,MN
AD,MO
AD,MP
AD,MR
AD,MS
AD,MT
AD,MU
AD,MV
AD,MW
AD,MX
AD,MY
AD,MZ
AD,NA
AD,NC
AD,NE
AD,NG
AD,NI
AD,NL
AD,NO
AD,NP
AD,NR
AD,NU
AD,NZ
AD,OM
AD,PA
AD,PE
AD,PF
AD,PG
AD,PH
AD,PK
AD,PL
AD,PM
AD,PN
AD,PR
AD,PS
AD,PT
AD,PW
AD,PY
AD,QA
AD,RE
AD,RO
AD,RS
AD,RU
AD,RW
AD,SA
AD,SB
AD,SC
AD,SD
AD,SE
AD,SG
AD,SH
AD,SI
AD,SJ
AD,SK
AD,SL
AD,SM
AD,SN
AD,SO
AD,SR
AD,SS
AD,ST
AD,SV
AD,SX
AD,SY
AD,SZ
AD,TC
AD,TD
AD,TG
AD,TH
AD,TJ
AD,TK
AD,TL
AD,TM
AD,TN
AD,TO
AD,TR
AD,TT
