country_id,group_id
CN,US1
GB,US1
IR,US1
BE,US1
CZ,US1
VA,US1
AT,US1
DE,US1
DK,US1
FR,US1
EE,US1
FI,US1
GR,US1
HU,US1
IS,US1
IT,US1
LV,US1
LI,US1
CH,US1
LT,US1
LU,US1
MT,US1
NL,US1
NO,US1
PL,US1
PT,US1
SK,US1
SI,US1
ES,US1
SE,US1
MC,US1
SM,US1
IE,US1
BR,US1
ZA,US1
IN,US1
IS,EU1
NO,EU1
LI,EU1
CH,EU1
GB,EU1
AT,EU1
BE,EU1
BG,EU1
HR,EU1
CY,EU1
CZ,EU1
DK,EU1
EE,EU1
FI,EU1
FR,EU1
DE,EU1
GR,EU1
HU,EU1
IE,EU1
IT,EU1
LV,EU1
LT,EU1
LU,EU1
MT,EU1
NL,EU1
PL,EU1
PT,EU1
RO,EU1
SK,EU1
SI,EU1
ES,EU1
SE,EU1
AU,EU2
BH,EU2
CA,EU2
CL,EU2
CN,EU2
JO,EU2
KW,EU2
NZ,EU2
QA,EU2
RW,EU2
SA,EU2
SG,EU2
KR,EU2
UA,EU2
AE,EU2
UY,EU2
AL,EU3
DZ,EU3
AR,EU3
BR,EU3
CO,EU3
CR,EU3
DO,EU3
EC,EU3
SV,EU3
GE,EU3
HN,EU3
HK,EU3
IQ,EU3
IL,EU3
JP,EU3
XK,EU3
LB,EU3
MO,EU3
MY,EU3
MX,EU3
MD,EU3
MN,EU3
MK,EU3
OM,EU3
PK,EU3
PS,EU3
PA,EU3
PY,EU3
PE,EU3
PH,EU3
RS,EU3
ZA,EU3
LK,EU3
TN,EU3
TR,EU3
US,EU3
VN,EU3
AF,US2
AL,US2
DZ,US2
AS,US2
AD,US2
AO,US2
AI,US2
AQ,US2
AG,US2
AR,US2
AM,US2
AW,US2
AU,US2
AZ,US2
BS,US2
BH,US2
BD,US2
BB,US2
BY,US2
BZ,US2
BJ,US2
BM,US2
BT,US2
BO,US2
BA,US2
BW,US2
IO,US2
VG,US2
BN,US2
BG,US2
BF,US2
BI,US2
KH,US2
CM,US2
CA,US2
CV,US2
KY,US2
CF,US2
TD,US2
CL,US2
CX,US2
CC,US2
CO,US2
KM,US2
CK,US2
CR,US2
HR,US2
CU,US2
CW,US2
CY,US2
,US2
CD,US2
,US2
DJ,US2
DM,US2
DO,US2
TL,US2
EC,US2
EG,US2
SV,US2
GQ,US2
ER,US2
ET,US2
FK,US2
FO,US2
FJ,US2
PF,US2
GA,US2
GM,US2
GE,US2
GH,US2
GI,US2
GL,US2
GD,US2
GU,US2
GT,US2
GG,US2
GN,US2
GW,US2
GY,US2
HT,US2
HN,US2
HK,US2
ID,US2
IQ,US2
IM,US2
IL,US2
CI,US2
JM,US2
JP,US2
JE,US2
JO,US2
KZ,US2
KE,US2
KI,US2
XK,US2
KW,US2
KG,US2
LA,US2
LB,US2
LS,US2
LR,US2
LY,US2
MO,US2
MK,US2
MG,US2
MW,US2
MY,US2
MV,US2
ML,US2
MH,US2
MR,US2
MU,US2
YT,US2
MX,US2
FM,US2
MD,US2
MN,US2
ME,US2
MS,US2
MA,US2
MZ,US2
MM,US2
NA,US2
NR,US2
NP,US2
AN,US2
NC,US2
NZ,US2
NI,US2
NE,US2
NG,US2
NU,US2
KP,US2
MP,US2
OM,US2
PK,US2
PW,US2
PS,US2
PA,US2
PG,US2
PY,US2
PE,US2
PH,US2
PN,US2
PR,US2
QA,US2
CG,US2
RE,US2
RO,US2
RU,US2
RW,US2
BL,US2
SH,US2
KN,US2
LC,US2
MF,US2
PM,US2
VC,US2
WS,US2
ST,US2
SA,US2
SN,US2
RS,US2
SC,US2
SL,US2
SG,US2
SX,US2
SB,US2
SO,US2
KR,US2
SS,US2
LK,US2
SD,US2
SR,US2
SJ,US2
SZ,US2
SY,US2
TW,US2
TJ,US2
TZ,US2
TH,US2
TG,US2
TK,US2
TO,US2
TT,US2
TN,US2
TR,US2
TM,US2
TC,US2
TV,US2
VI,US2
UG,US2
UA,US2
AE,US2
UY,US2
UZ,US2
VU,US2
VE,US2
VN,US2
WF,US2
EH,US2
YE,US2
ZM,US2
ZW,US2
